Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID
225,2004,The Cookout,Comedy,PG-13,movie,3.6,97 min,Lance Rivera,"Queen Latifah (story), Shakim Compere (story), Darryl French (story), Laurie B. Turner (screenplay), Ramsey Gbelawoe (screenplay), Jeffrey Brian Holmes (screenplay)","Ja Rule, Tim Meadows, Jenifer Lewis, Quran Pender",English,USA,2 nominations.,"2,395",tt0380277
228,1979,Butch and Sundance: The Early Days,"Comedy, Western",PG,movie,5.6,115 min,Richard Lester,"William Goldman (characters), Allan Burns","William Katt, Tom Berenger, Jeff Corey, John Schuck",English,USA,0,952,tt0078919
231,2002,Marooned in Iraq,Drama,N/A,movie,7.4,108 min,Bahman Ghobadi,Bahman Ghobadi,"Shahab Ebrahimi, Faegh Mohamadi, Allah-Morad Rashtian, Rojan Hosseini","Persian, Kurdish",Iran,5 wins & 4 nominations.,"1,104",tt0317226
232,1989,Gross Anatomy,Drama,PG-13,movie,6.1,109 min,Thom Eberhardt,"Mark Spragg (story), Howard Rosenman (story), Alan Jay Glueckman (story), Stanley Isaacs (story), Ron Nyswaner (screenplay), Mark Spragg (screenplay)","Matthew Modine, Daphne Zuniga, Christine Lahti, Todd Field",English,USA,0,"3,088",tt0097458
235,1996,Unhook the Stars,"Drama, Romance",R,movie,6.7,103 min,Nick Cassavetes,"Helen Caldwell, Nick Cassavetes","Gena Rowlands, Marisa Tomei, Gérard Depardieu, Jake Lloyd",English,"France, USA",2 wins & 5 nominations.,"1,817",tt0118044
238,1976,Led Zeppelin: The Song Remains the Same,"Documentary, Music",PG,movie,7.6,137 min,"Peter Clifton, Joe Massot",Peter Clifton,"John Bonham, John Paul Jones, Jimmy Page, Robert Plant",English,"UK, USA",0,"6,217",tt0075244
239,2004,Winnie the Pooh: Springtime with Roo,"Animation, Comedy, Family",G,movie,6.4,65 min,"Saul Blinkoff, Elliot M. Bour","A.A. Milne (characters), Tom Rogers","Jim Cummings, Ken Sansom, Jimmy Bennett, David Ogden Stiers","English, Arabic",USA,6 nominations.,990,tt0384696
240,1942,Woman of the Year,"Comedy, Drama, Romance",PASSED,movie,7.3,114 min,George Stevens,"Ring Lardner Jr. (original screen play), Michael Kanin (original screen play)","Spencer Tracy, Katharine Hepburn, Fay Bainter, Reginald Owen","English, French, Russian, German, Spanish, Greek",USA,Won 1 Oscar. Another 1 win & 2 nominations.,"6,832",tt0035567
241,1959,North by Northwest,"Action, Adventure, Crime",APPROVED,movie,8.4,136 min,Alfred Hitchcock,Ernest Lehman,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",English,USA,Nominated for 3 Oscars. Another 8 wins & 4 nominations.,"221,404",tt0053125
243,1962,Pressure Point,Drama,N/A,movie,7.2,91 min,"Hubert Cornfield, Stanley Kramer","Hubert Cornfield (screenplay), S. Lee Pogostin (screenplay), Robert M. Lindner (story ""The Fifty-Minute Hour"")","Sidney Poitier, Bobby Darin, Peter Falk, Carl Benton Reid",English,USA,0,920,tt0056370
246,1968,The Boston Strangler,"Crime, Drama, Mystery",APPROVED,movie,7.1,116 min,Richard Fleischer,"Edward Anhalt (screenplay), Gerold Frank (book)","Tony Curtis, Henry Fonda, George Kennedy, Mike Kellin",English,USA,Nominated for 1 Golden Globe. Another 2 nominations.,"6,044",tt0062755
247,1994,Oleanna,"Drama, Thriller",NOT RATED,movie,6.7,89 min,David Mamet,"David Mamet (play), David Mamet (screenplay)","William H. Macy, Debra Eisenstadt",English,"UK, USA",1 nomination.,"2,391",tt0110722
249,1958,The Hunters,"Action, Drama, Romance",APPROVED,movie,6.5,108 min,Dick Powell,"Wendell Mayes (screenplay), James Salter (novel)","Robert Mitchum, Robert Wagner, Richard Egan, May Britt",English,USA,0,"1,022",tt0051750
250,1966,Cast a Giant Shadow,"Adventure, Drama, History",APPROVED,movie,6.4,146 min,Melville Shavelson,"Ted Berkman (book), Melville Shavelson (written for the screen by)","Kirk Douglas, Senta Berger, Angie Dickinson, James Donald","English, Hebrew",USA,0,"2,099",tt0060218
252,2002,Stuart Little 2,"Animation, Adventure, Comedy",PG,movie,5.4,77 min,Rob Minkoff,"E.B. White (characters from the book ""Stuart Little""), Douglas Wick (story), Bruce Joel Rubin (story), Bruce Joel Rubin (screenplay)","Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki",English,USA,1 win & 4 nominations.,"37,064",tt0243585
253,1935,A Night at the Opera,"Comedy, Music, Musical",PASSED,movie,8.1,96 min,"Sam Wood, Edmund Goulding","George S. Kaufman (screen play), Morrie Ryskind (screen play), James Kevin McGuinness (from a story by)","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle","English, Italian",USA,1 win.,"24,919",tt0026778
254,2003,Westender,"Drama, Fantasy",PG-13,movie,4.6,105 min,Brock Morse,"Jefferson O.S. Brassfield, Brock Morse (story)","Blake Stadel, Rob Simonsen, John Rankin, Darlene Dadras",English,USA,1 win.,269,tt0365918
257,1973,Charlotte's Web,"Animation, Family, Musical",G,movie,6.9,94 min,"Charles A. Nichols, Iwao Takamoto","E.B. White (book), Earl Hamner Jr. (story)","Debbie Reynolds, Paul Lynde, Henry Gibson, Rex Allen",English,USA,1 win.,"13,535",tt0070016
258,1999,Mann,"Drama, Romance",N/A,movie,6.2,160 min,Indra Kumar,"Aatish Kapadia (dialogue), Aatish Kapadia (screenplay), Naushir Khatau (story advisor)","Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar",Hindi,India,0,"3,300",tt0206921
259,2004,Animal,"Action, Crime, Drama",N/A,movie,5.1,90 min,Toto Natividad,Willy Laconsay,"John Regala, Gardo Versoza, Via Veloso, Pyar Mirasol","Filipino, Tagalog",Philippines,0,8,tt0408494
260,1967,Marat / Sade,"Drama, History, Music",NOT RATED,movie,7.6,116 min,Peter Brook,"Peter Weiss (play), Geoffrey Skelton (English translation), Adrian Mitchell (screenplay)","Patrick Magee, Ian Richardson, Michael Williams, Clifford Rose",English,UK,2 wins.,"1,842",tt0060668
261,1948,The Big Clock,"Crime, Drama, Film-Noir",APPROVED,movie,7.7,95 min,John Farrow,"Jonathan Latimer (screenplay), Kenneth Fearing (novel)","Ray Milland, Charles Laughton, Maureen O'Sullivan, George Macready",English,USA,2 nominations.,"5,600",tt0040160
262,1974,Herbie Rides Again,"Comedy, Family, Fantasy",G,movie,5.6,88 min,Robert Stevenson,"Bill Walsh (screenplay), Gordon Buford (story)","Helen Hayes, Ken Berry, Stefanie Powers, John McIntire",English,USA,0,"5,537",tt0071607
268,1980,The Final Countdown,"Action, Sci-Fi",PG,movie,6.7,103 min,Don Taylor,"Thomas Hunter (story), Peter Powell (story), David Ambrose (story), David Ambrose (screenplay), Gerry Davis (screenplay), Thomas Hunter (screenplay), Peter Powell (screenplay)","Kirk Douglas, Martin Sheen, Katharine Ross, James Farentino","English, Japanese, Russian",USA,1 win & 2 nominations.,"16,248",tt0080736
269,1989,Parenthood,"Comedy, Drama",PG-13,movie,7,124 min,Ron Howard,"Lowell Ganz (story), Babaloo Mandel (story), Ron Howard (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)","Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards",English,USA,Nominated for 2 Oscars. Another 4 wins & 10 nominations.,"35,867",tt0098067
273,2004,Taxi,"Action, Comedy, Crime",PG-13,movie,4.4,97 min,Tim Story,"Luc Besson (earlier screenplay), Robert Ben Garant (screenplay), Thomas Lennon (screenplay), Jim Kouf (screenplay)","Queen Latifah, Jimmy Fallon, Henry Simmons, Jennifer Esposito","English, Portuguese, Spanish","USA, France",2 wins & 6 nominations.,"33,247",tt0316732
274,2002,Crazy as Hell,"Drama, Thriller",R,movie,6.1,113 min,Eriq La Salle,"Jeremy Leven (novel), Jeremy Leven (screenplay), Erik Jendresen (screenplay)","Michael Beach, Ronny Cox, Sinbad, Jane Carr",English,USA,1 win & 2 nominations.,863,tt0285487
275,2002,Evelyn,Drama,PG,movie,7,94 min,Bruce Beresford,Paul Pender,"Sophie Vavasseur, Niall Beagan, Hugh McDonagh, Pierce Brosnan",English,"Germany, Ireland, USA, UK, Netherlands",2 wins & 7 nominations.,"5,435",tt0298856
281,1993,The Legend,"Action, Comedy, History",R,movie,7.3,100 min,Corey Yuen,"Kin Chung Chan, Susan Godfrey (english adaptation), Jeffrey Lau, Jack Maeby (english adaptation), Kevin Tsai","Jet Li, Josephine Siao, Michelle Reis, Sibelle Hu",Cantonese,Hong Kong,3 wins & 2 nominations.,"5,988",tt0106936
283,1996,If These Walls Could Talk,"Drama, Thriller",R,movie,7.1,97 min,"Cher, Nancy Savoca","Pamela Wallace (story), Earl W. Wallace (story), Nancy Savoca (story), Nancy Savoca (teleplay), Susan Nanus, Nancy Savoca, I. Marlene King (story), I. Marlene King (teleplay), Nancy Savoca (teleplay)","Demi Moore, Shirley Knight, Catherine Keener, Jason London",English,USA,Nominated for 3 Golden Globes. Another 3 wins & 12 nominations.,"3,180",tt0116607
284,2005,Sasquatch Hunters,"Action, Horror, Thriller",R,movie,3.4,88 min,Fred Tepper,"Alain Matz (screenplay), Alain Matz (story), Fred Tepper (story), Tom Zimmerman (story)","Matt Lattimore, Amy Shelton-White, Kevin O'Connor, Gary Sturm",English,USA,0,409,tt0339531
285,1997,The Devil's Own,"Action, Crime, Drama",R,movie,6.1,111 min,Alan J. Pakula,"Kevin Jarre (story), David Aaron Cohen (screenplay), Vincent Patrick (screenplay), Kevin Jarre (screenplay)","Harrison Ford, Brad Pitt, Margaret Colin, Rubén Blades",English,USA,1 nomination.,"46,080",tt0118972
286,1966,Thunderbirds Are Go,"Action, Sci-Fi",N/A,movie,6.5,93 min,David Lane,"Gerry Anderson, Sylvia Anderson","Sylvia Anderson, Ray Barrett, Alexander Davion, Peter Dyneley",English,UK,0,"1,471",tt0061094
289,1998,The Avengers,"Action, Adventure, Sci-Fi",PG-13,movie,3.7,89 min,Jeremiah S. Chechik,"Sydney Newman (television series The Avengers), Don MacPherson","Ralph Fiennes, Uma Thurman, Sean Connery, Patrick Macnee",English,USA,3 wins & 16 nominations.,"35,773",tt0118661
294,2002,Oasis,"Drama, Romance",N/A,movie,8,133 min,Chang-dong Lee,Chang-dong Lee,"Kyung-gu Sol, So-ri Moon, Nae-sang Ahn, Seung-wan Ryoo",Korean,South Korea,13 wins & 2 nominations.,"5,489",tt0320193
295,1995,Ace Ventura: When Nature Calls,"Adventure, Comedy",PG-13,movie,6.3,90 min,Steve Oedekerk,"Jack Bernstein (characters), Steve Oedekerk","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",English,USA,7 wins & 7 nominations.,"161,005",tt0112281
296,2000,In His Life: The John Lennon Story,"Biography, Drama, Music",PG-13,movie,6.1,85 min,David Carson,Michael O'Hara,"Philip McQuillan, Daniel McGowen, Mark Rice-Oxley, Jamie Glover",English,USA,1 nomination.,486,tt0270430
297,2003,The Hebrew Hammer,Comedy,R,movie,6.2,85 min,Jonathan Kesselman,Jonathan Kesselman,"Adam Goldberg, Judy Greer, Andy Dick, Mario Van Peebles","English, Hebrew, Yiddish",USA,0,"4,203",tt0317640
299,2001,Bridget Jones's Diary,"Comedy, Drama, Romance",R,movie,6.7,97 min,Sharon Maguire,"Helen Fielding (novel), Helen Fielding (screenplay), Andrew Davies (screenplay), Richard Curtis (screenplay)","Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner",English,"UK, France, USA, Ireland",Nominated for 1 Oscar. Another 8 wins & 29 nominations.,"175,294",tt0243155
301,2003,Hard Ground,Western,N/A,movie,5.9,93 min,Frank Q. Dobbs,"Frank Q. Dobbs, David S. Cass Sr.","Burt Reynolds, Bruce Dern, Amy Jo Johnson, Seth Peterson",English,USA,0,333,tt0349529
303,1959,Les Liaisons Dangereuses,"Drama, Romance",N/A,movie,6.9,106 min,Roger Vadim,"Claude Brulé (adaptation), Choderlos de Laclos (novel), Roger Vadim (adaptation), Roger Vailland (dialogue & adaption), Roger Vailland (screenplay)","Jeanne Moreau, Gérard Philipe, Annette Stroyberg, Madeleine Lambert",French,"Italy, France",0,891,tt0053002
305,1996,Jack,"Comedy, Drama, Fantasy",PG-13,movie,5.7,113 min,Francis Ford Coppola,"James DeMonaco, Gary Nadeau","Robin Williams, Diane Lane, Brian Kerwin, Jennifer Lopez","English, Spanish",USA,6 nominations.,"47,141",tt0116669
309,1975,The Day of the Locust,"Drama, Thriller",R,movie,7.2,144 min,John Schlesinger,"Nathanael West (novel), Waldo Salt (screenplay)","Donald Sutherland, Karen Black, Burgess Meredith, William Atherton",English,USA,Nominated for 2 Oscars. Another 2 wins & 4 nominations.,"3,950",tt0072848
311,1994,Ed Wood,"Biography, Comedy, Drama",R,movie,7.9,127 min,Tim Burton,"Rudolph Grey (book), Scott Alexander, Larry Karaszewski","Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette",English,USA,Won 2 Oscars. Another 23 wins & 25 nominations.,"143,382",tt0109707
312,2000,High Fidelity,"Comedy, Drama, Music",R,movie,7.5,113 min,Stephen Frears,"Nick Hornby (book), D.V. DeVincentis (screenplay), Steve Pink (screenplay), John Cusack (screenplay), Scott Rosenberg (screenplay)","John Cusack, Iben Hjejle, Todd Louiso, Jack Black","English, Danish","UK, USA",Nominated for 1 Golden Globe. Another 3 wins & 21 nominations.,"144,461",tt0146882
313,2000,Pay It Forward,Drama,PG-13,movie,7.2,123 min,Mimi Leder,"Catherine Ryan Hyde (book), Leslie Dixon (screenplay)","Kevin Spacey, Helen Hunt, Haley Joel Osment, Jay Mohr",English,USA,1 win & 4 nominations.,"96,684",tt0223897
317,1997,Mandela and de Klerk,Drama,PG-13,movie,7.2,114 min,Joseph Sargent,Richard Wesley,"Sidney Poitier, Michael Caine, Tina Lifford, Gerry Maritz","English, Afrikaans",USA,Nominated for 1 Golden Globe. Another 10 nominations.,475,tt0119607
318,1994,Beyond Suspicion,"Crime, Drama, Thriller",R,movie,6.1,98 min,Paul Ziller,Simon Abbott,"Jack Scalia, Stepfanie Kramer, Howard Dell, Frank Ferrucci",English,Canada,0,73,tt0109259
320,1997,Eat Your Heart Out,"Comedy, Drama",UNRATED,movie,5.7,94 min,Felix O. Adlon,"Felix O. Adlon, Laura Slakey","Christian Oliver, Pamela Adlon, Laura San Giacomo, John Craig",English,"Germany, USA",0,277,tt0119042
321,2004,Ju-Rei: The Uncanny,Horror,NOT RATED,movie,5.3,76 min,Kôji Shiraishi,Naoyuki Yokota,"Chinatsu Wakatsuki, Miku Ueno, Eriko Ichinohe, Ichirô Ogura",Japanese,Japan,0,368,tt0445483
322,1974,Flesh Gordon,"Comedy, Sci-Fi",R,movie,4.6,78 min,"Michael Benveniste, Howard Ziehm",Michael Benveniste (screenplay),"Jason Williams, Suzanne Fields, Joseph Hudgins, William Dennis Hunt",English,USA,1 nomination.,"3,246",tt0068595
329,1999,Dogma,"Adventure, Comedy, Drama",R,movie,7.4,130 min,Kevin Smith,Kevin Smith,"Bud Cort, Barret Hackney, Jared Pfennigwerth, Kitao Sakurai",English,USA,8 nominations.,"182,222",tt0120655
330,1998,Wild Things,"Crime, Drama, Mystery",R,movie,6.5,108 min,John McNaughton,Stephen Peters,"Kevin Bacon, Matt Dillon, Neve Campbell, Theresa Russell",English,USA,2 wins & 4 nominations.,"91,005",tt0120890
331,1997,Chasing Amy,"Comedy, Drama, Romance",R,movie,7.3,113 min,Kevin Smith,Kevin Smith,"Ethan Suplee, Ben Affleck, Scott Mosier, Jason Lee",English,USA,Nominated for 1 Golden Globe. Another 5 wins & 15 nominations.,"114,963",tt0118842
334,2005,The Pacifier,"Action, Comedy, Drama",PG,movie,5.5,95 min,Adam Shankman,"Thomas Lennon, Robert Ben Garant","Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow","English, Korean","Canada, USA",1 win & 10 nominations.,"67,125",tt0395699
335,1981,Fear No Evil,Horror,R,movie,4,99 min,Frank LaLoggia,Frank LaLoggia,"Stefan Arngrim, Elizabeth Hoffman, Kathleen Rowe McAllen, Frank Birney",English,USA,1 win.,888,tt0082367
336,1978,The Driver,"Action, Crime, Thriller",R,movie,7.2,91 min,Walter Hill,Walter Hill,"Ryan O'Neal, Bruce Dern, Isabelle Adjani, Ronee Blakley",English,"USA, UK",0,"9,235",tt0077474
337,1983,Star 80,"Biography, Drama",R,movie,6.6,103 min,Bob Fosse,"Teresa Carpenter (article), Bob Fosse","Mariel Hemingway, Eric Roberts, Cliff Robertson, Carroll Baker",English,USA,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,"4,294",tt0086355
341,2004,Tremors 4: The Legend Begins,"Action, Comedy, Horror",PG-13,movie,5.4,101 min,S.S. Wilson,"S.S. Wilson (characters), Brent Maddock (characters), Ron Underwood (characters), S.S. Wilson (story), Brent Maddock (story), Nancy Roberts (story), Scott Buck (teleplay)","Michael Gross, Sara Botsford, Billy Drago, Brent Roam",English,USA,1 nomination.,"8,406",tt0334541
344,1967,The Taming of the Shrew,"Comedy, Drama, Romance",APPROVED,movie,7.2,122 min,Franco Zeffirelli,"William Shakespeare (play), Suso Cecchi D'Amico (screen play), Franco Zeffirelli (screenplay), Paul Dehn (screenplay)","Elizabeth Taylor, Richard Burton, Cyril Cusack, Michael Hordern",English,"Italy, USA",Nominated for 2 Oscars. Another 7 wins & 5 nominations.,"5,554",tt0061407
347,1989,Iceman Cometh,"Action, Romance, Sci-Fi",N/A,movie,6.6,114 min,Clarence Yiu-leung Fok,"Johnny Mak, Stephen Shiu","Biao Yuen, Maggie Cheung, Wah Yuen, Lai-Yui Lee",Cantonese,Hong Kong,3 nominations.,629,tt0097618
348,1988,The Last Temptation of Christ,Drama,R,movie,7.6,164 min,Martin Scorsese,"Nikos Kazantzakis (novel), Paul Schrader (screenplay)","Willem Dafoe, Harvey Keitel, Paul Greco, Steve Shill",English,"USA, Canada",Nominated for 1 Oscar. Another 2 wins & 6 nominations.,"39,909",tt0095497
349,1978,The Swarm,"Horror, Thriller",PG,movie,4.3,116 min,Irwin Allen,"Arthur Herzog III (novel), Stirling Silliphant (screenplay)","Michael Caine, Katharine Ross, Richard Widmark, Richard Chamberlain",English,USA,0,"5,289",tt0078350
351,1969,Guns of the Magnificent Seven,"Action, Western",G,movie,5.7,105 min,Paul Wendkos,Herman Hoffman,"George Kennedy, James Whitmore, Monte Markham, Reni Santoni","English, Spanish",USA,0,"1,583",tt0064395
353,2002,Life or Something Like It,"Comedy, Romance",PG-13,movie,5.8,103 min,Stephen Herek,"John Scott Shepherd (story), John Scott Shepherd (screenplay), Dana Stevens (screenplay)","Angelina Jolie, Edward Burns, Tony Shalhoub, Christian Kane",English,USA,1 nomination.,"19,485",tt0282687
356,2005,Look at Me,Short,N/A,movie,7.1,25 min,Birgitte Stærmose,"Mai Brostrøm, Ida Jessen (short story ""Stakkels gamle tante""), Andrew J. Smith, Birgitte Stærmose","Lykke Sand Michelsen, Merete Voldstedlund, Emily Marie Yatman, Oliver Bootz",Danish,Denmark,1 win.,37,tt0286054
357,2003,House of Sand and Fog,Drama,R,movie,7.6,126 min,Vadim Perelman,"Andre Dubus III (novel), Vadim Perelman (screenplay), Shawn Lawrence Otto (screenplay)","Jennifer Connelly, Ben Kingsley, Ron Eldard, Frances Fisher","English, Persian",USA,Nominated for 3 Oscars. Another 12 wins & 37 nominations.,"56,901",tt0315983
358,1979,The Onion Field,"Crime, Drama",R,movie,6.9,122 min,Harold Becker,"Joseph Wambaugh (book), Joseph Wambaugh (screenplay)","John Savage, James Woods, Franklyn Seales, Ted Danson",English,USA,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,"3,566",tt0079668
360,1999,Lies,Drama,N/A,movie,5.6,112 min,Sun-Woo Jang,"Jung-Il Chang (novel), Sun-Woo Jang","Sang Hyun Lee, Tae Yeon Kim, Hyun Joo Choi, Kwon Taek Han",Korean,South Korea,2 wins & 1 nomination.,"1,202",tt0208995
362,2000,The Flintstones in Viva Rock Vegas,"Comedy, Family, Romance",PG,movie,3.6,90 min,Brian Levant,"William Hanna (animated series), Joseph Barbera (animated series), Deborah Kaplan, Harry Elfont, Jim Cash, Jack Epps Jr.","Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski",English,USA,6 nominations.,"15,679",tt0158622
363,2002,Stark Raving Mad,"Action, Comedy, Crime",R,movie,6.4,101 min,"Drew Daywalt, David Schneider","Drew Daywalt (concept by), Patrick Kiely (concept by), David Schneider (concept by), Drew Daywalt, David Schneider","Seann William Scott, Timm Sharp, Patrick Breen, John B. Crye",English,USA,0,"4,198",tt0286152
369,2000,Playing Mona Lisa,Comedy,R,movie,6.1,97 min,Matthew Huffman,"Marni Freedman (play), Marni Freedman (screenplay), Carlos De Los Rios (screenplay)","Alicia Witt, Harvey Fierstein, Brooke Langton, Johnny Galecki",English,USA,2 wins.,716,tt0187559
371,1966,The Trouble with Angels,Comedy,PG,movie,7.5,112 min,Ida Lupino,"Blanche Hanalis (screenplay), Jane Trahey (based on a novel by)","Rosalind Russell, Binnie Barnes, Camilla Sparv, Mary Wickes",English,USA,2 nominations.,"3,475",tt0061122
372,1998,Jeans,"Comedy, Drama, Romance",N/A,movie,6.3,175 min,S. Shankar,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Nasser, Senthil",Tamil,India,3 wins.,"2,284",tt0151121
374,1976,The Little Girl Who Lives Down the Lane,"Drama, Mystery, Thriller",PG,movie,7.1,91 min,Nicolas Gessner,"Laird Koenig (novel), Laird Koenig (screenplay)","Jodie Foster, Martin Sheen, Alexis Smith, Mort Shuman",English,"Canada, France",2 wins & 3 nominations.,"9,608",tt0074806
378,2003,Party Monster,"Biography, Crime, Drama",R,movie,6.3,98 min,"Fenton Bailey, Randy Barbato","Fenton Bailey, Randy Barbato, James St. James (book)","Seth Green, Macaulay Culkin, Diana Scarwid, Dillon Woolley",English,"USA, Netherlands",4 nominations.,"12,767",tt0320244
